
40100001;18/04/2020 - 19:12:28;18/04/2020 - 19:12:29;18/04/2020 - 19:12:29;1;
40100002;18/04/2020 - 19:12:35;18/04/2020 - 19:12:35;18/04/2020 - 19:12:35;2;
40100003;18/04/2020 - 19:12:41;18/04/2020 - 19:12:41;18/04/2020 - 19:12:42;3;
40100004;18/04/2020 - 19:16:51;18/04/2020 - 19:16:51;18/04/2020 - 19:16:51;4;
40100006;18/04/2020 - 19:17:55;18/04/2020 - 19:17:55;18/04/2020 - 19:17:56;6;
40100010;18/04/2020 - 19:20:20;18/04/2020 - 19:20:20;18/04/2020 - 19:20:20;10;
40100011;18/04/2020 - 19:20:56;18/04/2020 - 19:20:57;18/04/2020 - 19:20:57;11;
40100012;18/04/2020 - 19:21:10;18/04/2020 - 19:21:11;18/04/2020 - 19:21:11;5;Hola
40100012;18/04/2020 - 19:21:46;18/04/2020 - 19:21:46;18/04/2020 - 19:21:47;12;
40100013;18/04/2020 - 19:22:29;18/04/2020 - 19:22:31;18/04/2020 - 19:22:31;13;
40100014;18/04/2020 - 19:23:01;18/04/2020 - 19:23:01;18/04/2020 - 19:23:02;14;
40100015;18/04/2020 - 19:23:32;18/04/2020 - 19:23:33;18/04/2020 - 19:23:33;15;
40100016;18/04/2020 - 19:49:23;18/04/2020 - 19:49:24;18/04/2020 - 19:49:24;16;
FIN;18/04/2020 - 19:51:40;18/04/2020 - 19:51:40;18/04/2020 - 19:51:41;10;
FIN;18/04/2020 - 19:51:49;18/04/2020 - 19:51:49;18/04/2020 - 19:51:50;5;
40100001;18/04/2020 - 20:00:54;18/04/2020 - 20:00:59;18/04/2020 - 20:01:01;10;Han faltado carros
40100016;18/04/2020 - 20:01:42;18/04/2020 - 20:01:42;18/04/2020 - 20:01:43;5;
40100001;18/04/2020 - 20:01:56;18/04/2020 - 20:01:56;18/04/2020 - 20:01:57;10;
OTRO;19/04/2020 - 10:43:37;19/04/2020 - 10:43:37;19/04/2020 - 10:43:37;4;
OTRO;19/04/2020 - 10:46:43;19/04/2020 - 10:46:44;19/04/2020 - 10:46:44;5;
OTRO;19/04/2020 - 10:47:28;19/04/2020 - 10:47:29;19/04/2020 - 10:47:36;5;40100357
OTRO;19/04/2020 - 10:48:10;19/04/2020 - 10:48:11;19/04/2020 - 10:48:11;5;
OTRO;19/04/2020 - 10:48:59;19/04/2020 - 10:48:59;19/04/2020 - 10:49:00;7;40100450
40100016;19/04/2020 - 18:04:53;19/04/2020 - 18:04:57;19/04/2020 - 18:05:00;5;
40100017;19/04/2020 - 18:05:16;19/04/2020 - 18:05:17;19/04/2020 - 18:05:17;7;
4876876;19/04/2020 - 18:07:16;19/04/2020 - 18:07:17;19/04/2020 - 18:07:17;6;
40100018;19/04/2020 - 18:08:24;19/04/2020 - 18:08:24;19/04/2020 - 18:08:24;6;color nuevo
40010016;19/04/2020 - 18:10:07;19/04/2020 - 18:10:08;19/04/2020 - 18:10:08;5;
40100016;19/04/2020 - 18:10:38;19/04/2020 - 18:10:38;19/04/2020 - 18:10:39;5;
40100016;19/04/2020 - 18:12:58;19/04/2020 - 18:12:59;19/04/2020 - 18:13:00;5;
40100016;20/04/2020 - 13:25:18;20/04/2020 - 13:25:20;20/04/2020 - 13:25:24;5;
40100001;20/04/2020 - 13:26:38;20/04/2020 - 13:26:38;20/04/2020 - 13:26:38;7;
40100016;20/04/2020 - 22:37:08;20/04/2020 - 22:37:09;20/04/2020 - 22:37:10;5;
40100016;22/04/2020 - 01:06:16;22/04/2020 - 01:06:17;22/04/2020 - 01:06:17;5;
40100001;22/04/2020 - 03:18:39;22/04/2020 - 03:18:41;22/04/2020 - 03:18:42;12;
40100002;22/04/2020 - 03:18:51;22/04/2020 - 03:18:52;22/04/2020 - 03:18:52;5;
40100001;22/04/2020 - 10:14:51;22/04/2020 - 10:14:53;22/04/2020 - 10:14:56;5;
40100001;22/04/2020 - 10:16:16;22/04/2020 - 10:16:17;22/04/2020 - 10:16:18;2;
